interaction_id,event_ts,customer_id,property_id,interaction_type,device,source,session_minutes,intent_sentiment
I000000157,2023-08-31,C007789,P002083,View,Mobile,App,6.2,
I000000158,2024-09-07,C007375,P002417,View,Mobile,Web,5.0,
I000000159,2024-02-26,C007596,P002019,View,Mobile,App,8.7,
I000000160,2024-09-21,C006254,P001211,View,Desktop,App,7.1,
I000000161,2024-10-08,C002877,P001524,View,Mobile,Web,8.0,
I000000162,2024-02-09,C000327,P003496,View,Desktop,Web,5.4,
I000000163,2024-02-25,C001822,P004021,Visit,Desktop,App,6.6,0.118
I000000164,2024-09-23,C000267,P001683,View,Desktop,Web,5.5,
I000000165,2023-10-16,C006713,P001953,Save,Desktop,Web,2.8,
I000000166,2024-09-03,C003675,P003748,View,Mobile,Web,6.9,
I000000167,2023-09-29,C007081,P002977,Call,Mobile,Web,4.0,
I000000168,2024-11-07,C004301,P001530,View,Mobile,Web,5.1,
I000000169,2023-01-20,C003166,P002449,View,Mobile,Web,5.3,
I000000170,2023-07-26,C007909,P003773,View,Desktop,Web,8.7,
I000000171,2024-11-19,C001273,P001299,Inquiry,Mobile,Web,7.9,0.273
I000000172,2024-04-06,C001647,P001409,View,Mobile,App,6.0,
I000000173,2023-01-22,C006641,P002989,Visit,Mobile,Web,10.7,0.074
I000000174,2023-07-30,C002224,P001921,Inquiry,Mobile,Web,8.2,0.616
I000000175,2024-05-03,C003821,P001561,View,Desktop,App,14.4,
I000000176,2024-04-17,C007642,P004048,Call,Mobile,App,4.7,
I000000177,2024-11-09,C003957,P003757,View,Desktop,Web,6.6,
I000000178,2023-09-11,C004312,P000340,Inquiry,Mobile,Web,2.8,-0.412
I000000179,2023-09-17,C000598,P004422,Save,Mobile,App,14.2,
I000000180,2023-04-08,C003950,P003723,View,Desktop,Web,5.3,
I000000181,2023-07-19,C007493,P002288,View,Mobile,Web,6.3,
I000000182,2024-11-25,C004356,P001618,Visit,Mobile,Web,5.6,0.743
I000000183,2024-06-09,C002723,P000315,View,Mobile,Web,4.9,
I000000184,2025-02-13,C005343,P003641,Visit,Desktop,Web,6.1,0.797
I000000185,2023-12-12,C005275,P002784,Save,Mobile,App,6.8,
I000000186,2022-07-31,C000322,P002035,Call,Mobile,Web,13.5,0.763
I000000187,2023-09-01,C002381,P002069,View,Desktop,App,17.2,
I000000188,2024-06-10,C002231,P002066,View,Mobile,App,5.4,
I000000189,2024-01-05,C002075,P004317,Call,Desktop,Web,8.3,0.416
I000000190,2024-06-10,C006786,P004409,View,Mobile,Web,8.6,
I000000191,2023-09-10,C007587,P003407,View,Desktop,App,10.3,
I000000192,2023-04-07,C004338,P004279,View,Desktop,App,14.1,
I000000193,2024-08-29,C001331,P003394,Visit,Mobile,Web,9.5,0.402
I000000194,2024-07-01,C000536,P003326,View,Mobile,Web,13.4,
I000000195,2022-02-22,C005562,P003144,Visit,Mobile,App,6.0,0.877
I000000196,2024-09-01,C000426,P003509,Inquiry,Mobile,Web,10.0,0.339
I000000197,2024-04-12,C005116,P000141,View,Mobile,App,7.8,
I000000198,2024-11-19,C003077,P000446,View,Mobile,App,5.3,
I000000199,2022-07-23,C005624,P002329,View,Mobile,App,5.4,
I000000200,2024-10-23,C002121,P000488,Inquiry,Desktop,Web,3.4,0.469
I000000201,2022-11-25,C007583,P002204,View,Mobile,Web,5.4,
I000000202,2023-06-25,C004053,P001690,View,Desktop,App,9.6,
I000000203,2024-08-30,C005508,P004158,View,Mobile,Web,9.8,
I000000204,2024-02-29,C007472,P000915,View,Mobile,App,9.0,
I000000205,2024-07-29,C001861,P002349,Inquiry,Desktop,Web,9.4,0.203
I000000206,2023-10-04,C005211,P003751,View,Mobile,Web,7.6,
I000000207,2023-02-21,C002187,P002003,View,Mobile,Web,10.1,
I000000208,2023-08-12,C006666,P003911,Inquiry,Desktop,App,19.0,0.18
I000000209,2024-12-06,C000879,P003481,View,Desktop,Web,7.1,
I000000210,2023-06-09,C005670,P004311,View,Mobile,App,4.0,
I000000211,2023-08-28,C006248,P002435,View,Desktop,App,4.5,
I000000212,2024-11-12,C002154,P003535,Save,Mobile,Web,8.6,
I000000213,2023-11-13,C005473,P002329,View,Desktop,Web,6.7,
I000000214,2024-06-21,C002658,P001380,View,Mobile,Web,8.1,
I000000215,2024-12-16,C001848,P003038,Inquiry,Mobile,App,9.5,0.02
I000000216,2023-12-10,C006902,P003518,Save,Mobile,App,9.3,
I000000217,2023-09-03,C007885,P002266,Save,Mobile,App,3.3,
I000000218,2024-09-19,C001826,P000968,Inquiry,Desktop,Web,12.6,0.018
I000000219,2024-10-06,C004087,P000736,Call,Mobile,App,8.2,0.621
I000000220,2024-07-25,C005590,P002800,View,Mobile,App,8.5,
I000000221,2024-06-01,C000121,P003374,Visit,Desktop,Web,14.5,0.527
I000000222,2024-09-13,C006156,P003190,Save,Mobile,Web,6.6,
I000000223,2024-09-03,C003991,P003164,Inquiry,Mobile,App,2.7,0.538
I000000224,2024-11-20,C002568,P002649,Inquiry,Mobile,Web,9.0,1.0
I000000225,2023-05-28,C001068,P000914,Call,Mobile,App,7.9,0.352
I000000226,2023-11-16,C003141,P003419,Inquiry,Mobile,Web,8.3,0.782
I000000227,2024-06-14,C004871,P002458,Inquiry,Mobile,Web,16.5,0.907
I000000228,2025-01-18,C001333,P003469,Call,Mobile,Web,8.1,0.669
I000000229,2024-02-08,C000312,P003653,View,Mobile,App,12.9,
I000000230,2024-10-08,C002136,P004479,Save,Mobile,Web,2.9,
I000000231,2024-04-30,C005552,P004364,Inquiry,Mobile,App,7.7,0.36
I000000232,2024-07-24,C003326,P000275,View,Mobile,Web,7.2,
I000000233,2024-07-05,C006708,P002206,View,Mobile,App,4.6,
I000000234,2024-11-18,C007901,P000452,Inquiry,Mobile,Web,12.0,0.934
I000000235,2022-07-22,C004316,P000689,View,Mobile,App,8.7,
I000000236,2024-01-25,C007355,P001747,View,Mobile,Web,2.2,
I000000237,2024-12-16,C003435,P004149,Save,Desktop,Web,13.3,
I000000238,2023-09-19,C007528,P001909,View,Mobile,Web,6.1,
I000000239,2023-10-19,C000756,P002843,View,Desktop,App,7.2,
I000000240,2024-01-23,C005129,P000532,Visit,Desktop,Web,7.7,0.39
I000000241,2023-07-25,C006052,P000713,Inquiry,,Web,11.6,
I000000242,2022-12-01,C002422,P000756,Save,Desktop,Web,23.5,
I000000243,2024-09-09,C006359,P004460,View,Desktop,App,8.5,
I000000244,2024-01-20,C001512,P003038,View,Mobile,Web,10.8,
I000000245,2024-10-20,C003605,P002023,View,Mobile,Web,10.6,
I000000246,2024-04-15,C000204,P004033,View,Desktop,App,3.8,
I000000247,2023-10-05,C002772,P004299,Save,Mobile,Web,6.0,
I000000248,2023-09-24,C001464,P004123,Inquiry,Mobile,Web,8.3,0.436
I000000249,2024-06-15,C007133,P003713,View,Mobile,App,8.7,
I000000250,2024-08-06,C006866,P000640,View,Mobile,App,4.0,
I000000251,2023-02-16,C003043,P000390,Visit,Mobile,App,11.4,0.684
I000000252,2023-09-12,C004683,P001747,Save,Mobile,Web,21.0,
I000000253,2024-03-20,C005265,P001561,Call,Mobile,App,13.9,0.504
I000000254,2024-08-30,C002289,P002136,View,Desktop,App,4.0,
I000000255,2022-11-04,C004832,P001933,View,Mobile,Web,5.1,
I000000256,2023-09-03,C007881,P002392,View,Mobile,Web,10.5,
I000000257,2024-09-03,C005818,P001626,View,Mobile,Web,3.0,
I000000258,2024-08-02,C002108,P003596,View,Mobile,Web,13.5,
I000000259,2023-04-23,C005157,P001369,View,Desktop,Web,4.6,
I000000260,2023-10-02,C002450,P003378,View,Mobile,Web,6.8,
I000000261,2023-06-19,C003913,P003452,Call,Mobile,App,5.4,0.194
I000000262,2024-02-23,C004836,P001605,View,Mobile,App,5.4,
I000000263,2023-08-12,C004139,P001987,Visit,Mobile,Web,12.2,1.0
I000000264,2024-06-08,C001158,P002628,Call,Mobile,Web,3.1,0.247
I000000265,2022-09-04,C002448,P002300,View,Mobile,Web,7.5,
I000000266,2022-08-01,C000105,P003749,View,Mobile,Web,8.0,
I000000267,2024-08-24,C000045,P001847,Save,Mobile,Web,9.3,
I000000268,2023-05-23,C006193,P002722,View,Mobile,Web,3.1,
I000000269,2023-06-11,C003237,P001040,View,Mobile,App,4.1,
I000000270,2022-11-28,C004191,P004142,Save,,Web,6.3,
I000000271,2023-05-11,C002001,P002445,Visit,Mobile,App,8.5,0.631
I000000272,2024-01-02,C007940,P003295,View,Desktop,App,9.0,
I000000273,2023-04-26,C002616,P003622,Call,Mobile,App,6.8,-0.501
I000000274,2024-09-01,C005499,P002984,View,Mobile,Web,6.7,
I000000275,2023-05-17,C001667,P000159,Inquiry,Mobile,Web,13.9,
I000000276,2024-05-15,C004431,P000148,Inquiry,Mobile,Web,7.8,0.45
I000000277,2024-11-05,C000702,P000109,View,Mobile,Web,8.1,
I000000278,2024-09-30,C007982,P003117,View,Desktop,App,4.7,
I000000279,2024-09-19,C002575,P002819,View,Mobile,App,8.5,
I000000280,2024-05-06,C004833,P002196,Save,Mobile,Web,6.9,
I000000281,2023-10-11,C003076,P002197,View,Mobile,Web,7.5,
I000000282,2024-09-25,C005808,P002743,View,Mobile,App,6.6,
I000000283,2024-09-25,C004001,P002868,Call,Mobile,App,14.8,0.154
I000000284,2023-08-23,C007657,P004092,View,Mobile,Web,5.1,
I000000285,2024-12-17,C006518,P000373,Inquiry,Mobile,Web,3.7,0.023
I000000286,2024-07-03,C007107,P000370,View,Mobile,Web,5.1,
I000000287,2024-03-17,C000719,P004291,Inquiry,Mobile,Web,9.8,0.125
I000000288,2024-09-17,C007782,P001035,View,Mobile,Web,4.2,
I000000289,2024-12-15,C002264,P002879,Save,Mobile,App,6.9,
I000000290,2025-02-19,C001776,P001895,Save,Desktop,Web,4.1,
I000000291,2024-06-14,C005632,P004213,View,Desktop,Web,6.4,
I000000292,2022-11-22,C004632,P003113,Save,Desktop,Web,6.3,
I000000293,2022-10-26,C007440,P003168,View,Mobile,Web,4.7,
I000000294,2024-10-01,C004741,P000699,Visit,Mobile,Web,18.4,-0.21
I000000295,2024-03-16,C006741,P000220,View,Desktop,Web,6.4,
I000000296,2024-07-02,C007047,P003484,Save,Mobile,App,15.9,
I000000297,2024-12-10,C003725,P002814,View,Mobile,App,7.7,
I000000298,2024-02-15,C002159,P003126,Inquiry,Mobile,App,9.2,-0.025
I000000299,2024-02-24,C001644,P001237,View,Desktop,App,2.8,
I000000300,2024-07-19,C007244,P002373,View,Mobile,App,7.9,
I000000301,2024-08-26,C001819,P002261,Inquiry,Mobile,App,4.2,0.161
I000000302,2023-12-13,C003449,P000384,Save,Desktop,Web,10.0,
I000000303,2023-10-26,C004519,P002735,Inquiry,Mobile,Web,5.2,-0.201
I000000304,2023-09-29,C006452,P001595,View,Mobile,Web,11.0,
I000000305,2022-08-30,C002305,P004005,Call,,Web,4.3,
I000000306,2024-05-16,C007349,P002480,View,Mobile,Web,7.2,
I000000307,2024-03-27,C002081,P000924,View,Mobile,Web,6.3,
I000000308,2023-07-17,C001418,P004063,View,Mobile,Web,2.4,
I000000309,2023-07-20,C002981,P002356,Save,Desktop,Web,10.3,
I000000310,2024-02-21,C005406,P002677,View,Desktop,App,7.8,
I000000311,2022-12-19,C004108,P000051,Visit,Mobile,Web,11.8,0.407
I000000312,2025-01-22,C004573,P001734,Inquiry,Desktop,App,7.9,
I000000313,2024-06-16,C005821,P001024,Visit,Mobile,Web,6.8,-0.257
I000000314,2022-08-28,C007392,P001262,Inquiry,Mobile,Web,4.0,0.456
I000000315,2024-11-19,C003952,P003796,View,Mobile,App,8.1,
I000000316,2024-09-27,C005278,P002172,Call,Desktop,App,8.9,0.551
I000000317,2024-08-12,C003458,P000310,Inquiry,Mobile,Web,4.9,-0.066
I000000318,2024-06-06,C005296,P001497,View,Mobile,App,10.9,
I000000319,2024-03-25,C002676,P003932,Save,Mobile,Web,5.2,
I000000320,2023-08-04,C003107,P004054,View,Desktop,Web,7.0,
I000000321,2024-07-30,C007450,P000068,Visit,Mobile,App,18.7,0.302
I000000322,2022-09-02,C002343,P003446,Offer,Mobile,Web,17.9,0.529
I000000323,2023-08-19,C006348,P003889,Save,Mobile,App,15.0,
I000000324,2024-10-13,C002430,P001674,Visit,Mobile,App,6.4,0.554
I000000325,2024-09-04,C007187,P004490,Offer,Desktop,App,4.3,0.607
I000000326,2024-09-17,C002860,P003061,View,Mobile,Web,10.1,
I000000327,2024-05-14,C007965,P002503,View,Desktop,Web,9.3,
I000000328,2023-12-30,C007618,P000215,View,Desktop,App,4.8,
I000000329,2023-11-20,C006494,P004493,View,Mobile,Web,4.0,
I000000330,2024-11-09,C000864,P001822,Inquiry,Desktop,App,5.4,0.653
I000000331,2024-11-26,C002880,P002177,View,Mobile,App,7.3,
I000000332,2024-09-12,C004539,P002050,Save,Mobile,App,7.3,
I000000333,2024-10-06,C007671,P000199,Save,Mobile,App,6.6,
I000000334,2023-06-16,C006482,P003763,Inquiry,Mobile,Web,9.6,0.287
I000000335,2024-03-29,C004368,P001614,Visit,Mobile,App,5.6,
I000000336,2024-05-18,C001806,P002616,Call,Mobile,Web,5.0,0.663
I000000337,2024-04-10,C003298,P001480,Save,Mobile,Web,12.8,
I000000338,2024-08-26,C006724,P003305,Visit,Desktop,App,5.6,0.03
I000000339,2023-07-25,C000280,P003812,View,Desktop,Web,13.6,
I000000340,2023-06-11,C007420,P002247,View,Mobile,Web,15.5,
I000000341,2023-10-23,C006575,P001122,Inquiry,Mobile,Web,8.7,
I000000342,2024-11-28,C007139,P003738,Visit,Mobile,Web,9.1,0.47
I000000343,2024-01-10,C004021,P001910,View,Mobile,Web,6.6,
I000000344,2024-09-06,C007680,P003055,Save,Mobile,App,6.2,
I000000345,2024-08-25,C006385,P000759,Visit,Mobile,Web,10.2,-0.075
I000000346,2023-06-28,C005332,P004097,View,Mobile,App,12.2,
I000000347,2024-05-29,C006365,P001370,View,Mobile,Web,7.4,
I000000348,2024-10-23,C007375,P004483,View,Mobile,Web,13.3,
I000000349,2024-10-28,C000815,P000394,View,Mobile,App,8.6,
I000000350,2024-12-28,C005202,P001816,View,Mobile,Web,5.2,
I000000351,2022-11-29,C007376,P001048,View,Mobile,App,10.1,
I000000352,2025-02-17,C000307,P001298,View,Mobile,App,4.1,
I000000353,2023-03-15,C000322,P001615,Save,Desktop,Web,8.8,
I000000354,2023-07-21,C000489,P001911,Visit,Mobile,Web,4.3,0.587
I000000355,2024-06-22,C003874,P000579,View,Mobile,App,4.6,
I000000356,2023-10-22,C001547,P002448,View,Mobile,Web,8.8,
I000000357,2023-01-27,C003495,P002047,View,Mobile,Web,11.0,
I000000358,2023-04-22,C006239,P001496,Inquiry,Mobile,Web,13.9,-0.054
I000000359,2023-11-19,C007022,P003101,View,Mobile,App,7.6,
I000000360,2025-02-05,C004328,P000080,View,Mobile,App,7.3,
I000000361,2023-07-01,C003900,P000519,View,Mobile,App,7.0,
I000000362,2022-07-30,C004321,P004495,View,Mobile,Web,11.1,
I000000363,2024-09-03,C003541,P003827,Call,Mobile,App,21.3,0.718
I000000364,2025-02-03,C006732,P002227,Save,Mobile,Web,5.7,
I000000365,2024-07-14,C003864,P002770,View,Mobile,App,13.6,
I000000366,2023-11-08,C001818,P000821,Visit,Desktop,Web,15.1,-0.194
I000000367,2023-08-04,C001842,P003598,Save,Mobile,Web,6.3,
I000000368,2024-02-08,C007966,P002180,Offer,Mobile,Web,9.7,0.805
I000000369,2024-05-16,C003767,P000062,View,Mobile,App,11.3,
I000000370,2024-11-14,C002286,P003674,Inquiry,Mobile,App,3.6,0.217
I000000371,2024-12-08,C005306,P003488,Call,Desktop,Web,3.4,0.624
I000000372,2024-12-25,C005223,P000827,View,Mobile,App,4.7,
I000000373,2024-10-17,C001201,P003535,View,Mobile,Web,9.4,
I000000374,2024-07-11,C002397,P000361,View,Desktop,Web,15.0,
I000000375,2022-12-10,C007746,P002048,Visit,Mobile,Web,12.6,0.418
I000000376,2024-10-22,C000617,P002838,Save,Desktop,App,5.9,
I000000377,2024-07-15,C004635,P002692,Inquiry,Mobile,Web,11.8,-0.225
I000000378,2024-08-19,C005033,P003158,View,Mobile,Web,10.5,
I000000379,2024-10-05,C001286,P002675,Offer,Mobile,Web,6.2,0.933
